First Name
ACCT
VMED
UNST
THTR
TAM
SOCL
SW
RNR
REL
PSYC
POLI
PHYS
PHIL
PBS
OCS
MUTH
MUS
MUED
ENVS
NFS
NS
PADM
PETE
PHSC
PLHL
SCRN
SCI
SSS
SPAN
UNIV
UC
VETS
VCS
WGS
MGT
ME
MC
MATH
LIS
LHRD
LA
KIN
ITAL
IE
HSS
HSE
HIST
GEOL
FREN
GEOG
GBUS
HEBR
GRAD
GERM
GREK
Hist
HORT
HNRS
ID
ISDS
INTL
JAPN
LATN
LING
LIBA
LCA
MEDP
MKT
MILS
EXST
ENTR
ENGL
ELRC
EE
EDCI
CSC
COMD
CMST
CLST
CHEM
CE
BIOL
CBS
BLAW
CHE
CHIN
CFS
CM
CPLT
ECON
DSM
DMAE
EDUC
ENGR
EMS
ENTM
FIN
EVEG
Catalog
AGEC
AAAS
ASTR
ART
ANTH
ARAB
ANSC
AEEE
ASLG
AGRO
AGRI
ARCH
ATRN
ARTH
DART
BE
BASC
BADM
ASST
