ID,Category,course title,Credit hours,course ID,class code
89,Humanities,ARAB 1102 Beginning Arabic (4),4,ARAB,1102
90,Humanities,ARAB 2101 Intermediate Arabic (3),3,ARAB,2101
91,Humanities,ARAB 2102 Intermediate Arabic (3),3,ARAB,2102
92,Humanities,ARCH 2007 History of Architecture I (3),3,ARCH,2007
93,Humanities,ARCH 2008 History of Architecture II (3),3,ARCH,2008
94,Humanities,ARTH 2411 Survey of Asian Art (3),3,ARTH,2411
95,Humanities,CHIN 1101 Beginning Mandarin Chinese (4),4,CHIN,1101
96,Humanities,CHIN 1102 Beginning Mandarin Chinese (4),4,CHIN,1102
97,Humanities,CHIN 2001 Intermediate Mandarin Chinese (4),4,CHIN,2001
98,Humanities,CHIN 2002 Intermediate Mandarin Chinese (4),4,CHIN,2002
99,Humanities,CHIN 2070 Chinese Cinema (3),3,CHIN,2070
100,Humanities,CLST 2101 Ancient Greek Civilization (3),3,CLST,2101
101,Humanities,CLST 2102 Ancient Roman Civilization (3),3,CLST,2102
102,Humanities,CMST 1061 Fundamentals of Communication (3),3,CMST,1061
103,Humanities,CMST 2012 Introduction to Film (4),4,CMST,2012
104,Humanities,CMST 2040 Introduction to Performing Literature (3),3,CMST,2040
105,Humanities,CMST 2060 Public Speaking (3),3,CMST,2060
106,Humanities,CMST 2063 Argumentation and Debate (3),3,CMST,2063
107,Humanities,CPLT 2201 Introduction to World Literary Traditions (3),3,CPLT,2201
108,Humanities,CPLT 2202 Introduction to Modern World Literature (3),3,CPLT,2202
109,Humanities,ENGL 2024 Critical Strategies (3),3,ENGL,2024
110,Humanities,ENGL 2025 Fiction (3),3,ENGL,2025
111,Humanities,ENGL 2027 Poetry (3),3,ENGL,2027
112,Humanities,ENGL 2029 Drama (3),3,ENGL,2029
113,Humanities,ENGL 2123 Studies in Literary Traditions and Themes (3),3,ENGL,2123
114,Humanities,ENGL 2148 Shakespeare (3),3,ENGL,2148
115,Humanities,ENGL 2201 Introduction to World Literary Traditions (3),3,ENGL,2201
116,Humanities,ENGL 2202 Introduction to Modern World Literature (3),3,ENGL,2202
117,Humanities,ENGL 2220 Major British Authors (3),3,ENGL,2220
118,Humanities,ENGL 2231 Reading Film (3),3,ENGL,2231
119,Humanities,ENGL 2270 Major American Authors (3),3,ENGL,2270
120,Humanities,ENGL 2300 Interpreting Discourse (3),3,ENGL,2300
121,Humanities,ENGL 2593 Gender and Literature (3),3,ENGL,2593
122,Humanities,ENGL 2673 Literature and Ethnicity (3),3,ENGL,2673
123,Humanities,ENGL 2674 Introduction to African-American Literature (3),3,ENGL,2674
124,Humanities,ENGL 2823 HONORS: Studies in Literary Traditions and Themes (3),3,ENGL,2823
125,Humanities,ENGL 2824 HONORS: Critical Analysis of Literature (3),3,ENGL,2824
126,Humanities,FREN 1001 Elementary French (4),4,FREN,1001
127,Humanities,FREN 1002 Elementary French (4),4,FREN,1002
128,Humanities,FREN 1201 Elementary Cajun French (4),4,FREN,1201
129,Humanities,FREN 1202 Elementary Cajun French (4),4,FREN,1202
130,Humanities,FREN 2101 Intermediate French (3),3,FREN,2101
131,Humanities,FREN 2102 Intermediate French (3),3,FREN,2102
132,Humanities,FREN 2155 Readings in French Literature (3),3,FREN,2155
133,Humanities,FREN 2201 Intermediate Cajun French (3),3,FREN,2201
134,Humanities,FREN 2202 Intermediate Cajun French (3),3,FREN,2202
135,Humanities,GERM 1101 Elementary German (4),4,GERM,1101
136,Humanities,GERM 1102 Elementary German (4),4,GERM,1102
137,Humanities,GERM 2075 German Civilization (3),3,GERM,2075
138,Humanities,GERM 2101 Intermediate German (3),3,GERM,2101
139,Humanities,GERM 2102 Intermediate German (3),3,GERM,2102
140,Humanities,GREK 1001 Elementary Greek (4),4,GREK,1001
141,Humanities,GREK 2051 Intermediate Greek (4),4,GREK,2051
142,Humanities,GREK 2103 Intermediate Greek Prose (3),3,GREK,2103
143,Humanities,GREK 2104 Intermediate Greek 2 (3),3,GREK,2104
144,Humanities,HEBR 1001 Beginning Hebrew (4),4,HEBR,1001
145,Humanities,HEBR 1002 Beginning Hebrew (4),4,HEBR,1002
146,Humanities,HEBR 2003 Intermediate Hebrew (4),4,HEBR,2003
147,Humanities,HEBR 2004 Intermediate Hebrew (4),4,HEBR,2004
148,Humanities,HIST 1001 Western Civilization to 1500 (3),3,HIST,1001
149,Humanities,HIST 1002 HONORS: Western Civilization to 1500 (3),3,HIST,1002
150,Humanities,HIST 1003 Western Civilization Since 1500 (3),3,HIST,1003
151,Humanities,HIST 1004 HONORS: Western Civilization Since 1500 (3),3,HIST,1004
152,Humanities,HIST 1005 World History to 1500 (3),3,HIST,1005
153,Humanities,HIST 1007 World History Since 1500 (3),3,HIST,1007
154,Humanities,HIST 2014 Goddesses to Witches: Women in Europe 500 BCE -1700 CE (3),3,HIST,2014
155,Humanities,HIST 2020 Medieval Europe (3),3,HIST,2020
156,Humanities,HIST 2022 Modern Europe (3),3,HIST,2022
157,Humanities,HIST 2023 The World Since 1960 (3),3,HIST,2023
158,,,,,
159,,,,,
160,Humanities,HIST 2055 The United States to 1865 (3),3,HIST,2055
161,Humanities,HIST 2056 HONORS: The United States to 1865 (3),3,HIST,2056
162,Humanities,HIST 2057 The United States from 1865 to the Present (3),3,HIST,2057
163,Humanities,HIST 2058 HONORS: The United States from 1865 to the Present (3),3,HIST,2058
164,Humanities,HIST 2061 African American History (3),3,HIST,2061
165,Humanities,HIST 2065 History of Popular Culture in the United States (3),3,HIST,2065
166,Humanities,HIST 2075 German Civilization (3),3,HIST,2075
167,Humanities,HIST 2096 East Asian Civilization Since 1800 (3),3,HIST,2096
168,Humanities,HIST 2100 Introduction to Asia (3),3,HIST,2100
169,Humanities,HIST 2125 The History of Premodern Cities (3),3,HIST,2125
170,Humanities,HIST 2126 Cities in European History since 1500 (3),3,HIST,2126
171,Humanities,HIST 2160 Contemporary Middle East (3),3,HIST,2160
172,Humanities,HIST 2184 Introduction to African Civilizations (3),3,HIST,2184
173,Humanities,HIST 2186 Post-Colonial Africa (3),3,HIST,2186
174,,,,,
175,Humanities,HNRS 2000 Critical Analysis (3),3,HNRS,2000
176,Humanities,HNRS 2012 The 19th Century (3),3,HNRS,2012
177,Humanities,HNRS 2013 The 20th Century (3),3,HNRS,2013
178,Humanities,HNRS 2020 Contemporary Studies (3),3,HNRS,2020
