id,Category,course title,Credit hours,course ID,class code
80,Fine,ART 1001 Introduction to Fine Arts (3),3,ART,1001
81,Fine,ARTH 1440 Historical Survey of the Arts (3),3,ARTH,1440
82,Fine,ARTH 1441 Historical Survey of the Arts (3),3,ARTH,1441
83,Fine,ARTH 2402 Classical Art and Archaeology (3),3,ARTH,2402
84,Fine,ARTH 2470 Survey of Modern to Contemporary Art (3),3,ARTH,2470
85,Fine,HNRS 2021 Colloquium in the Arts (3),3,HNRS,2021
86,Fine,ID 1051 Introduction to Interior Design (3),3,ID,1051
87,Fine,LA 1201 Introduction to Landscape Architecture (3),3,LA,1201
88,Fine,MUS 1400 Louisiana Music (3),3,MUS,1400
89,Fine,MUS 1600 American Popular Music (3),3,MUS,1600
90,Fine,MUS 1751 Music Appreciation (3),3,MUS,1751
91,Fine,MUS 1799 Rudiments of Music (3),3,MUS,1799
92,Fine,THTR 1020 Introduction to Theatre (3),3,THTR,1020
93,Fine,THTR 1800 Introduction to Dance (3),3,THTR,1800
94,Fine,THTR 2022 Introduction to Theatrical Design (3),3,THTR,2022
95,Natural,ASTR 1101 The Solar System (3),3,ASTR,1101
96,Natural,ASTR 1102 Stellar Astronomy (3),3,ASTR,1102
97,Natural,BIOL 1001 General Biology (3),3,BIOL,1001
98,Natural,BIOL 1002 General Biology (3),3,BIOL,1002
99,Natural,BIOL 1201 Biology for Science Majors I (3),3,BIOL,1201
100,Natural,BIOL 1202 Biology for Science Majors II (3),3,BIOL,1202
101,Natural,BIOL 1503 Honors: Biology for Science Majors II (4),4,BIOL,1503
102,Natural,CHEM 1001 Chemical Fundamentals (3),3,CHEM,1001
103,Natural,CHEM 1002 Chemistry of Life and the Environment (3),3,CHEM,1002
104,Natural,CHEM 1201 General Chemistry I (3),3,CHEM,1201
105,Natural,CHEM 1421 HONORS: General Chemistry I (3),3,CHEM,1421
106,Natural,CHEM 1202 General Chemistry II (3),3,CHEM,1202
107,Natural,CHEM 1422 HONORS: General Chemistry II (3),3,CHEM,1422
108,Natural,ENVS 1126 Introduction to Environmental Sciences (3),3,ENVS,1126
109,Natural,ENVS 1127 HONORS: Introduction to Environmental Sciences (3),3,ENVS,1127
110,Natural,ENVS 2126 Environmental and Anthropogenic Impacts of Microbes (3),3,ENVS,2126
111,Natural,ENVS 2127 Honors Environmental & Anthropogenic Impacts of Microbes (3),3,ENVS,2127
112,Natural,GEOG 2050 Physical Geography: The Atmosphere (3),3,GEOG,2050
113,Natural,"GEOG 2051 Physical Geography: Land and Water Surfaces, Plant and Animal Realms (3)",3,GEOG,2051
114,Natural,GEOL 1001 General Geology: Physical (3),3,GEOL,1001
115,Natural,GEOL 1002 HONORS: General Geology: Physical (3),3,GEOL,1002
116,Natural,GEOL 1003 General Geology: Historical (3),3,GEOL,1003
117,Natural,GEOL 1201 Principles of Geology I (4),4,GEOL,1201
118,Natural,GEOL 1202 Principles of Geology II (4),4,GEOL,1202
119,Natural,GEOL 2020 Geology and the Environment (3),3,GEOL,2020
120,Natural,HORT 2050 General Horticulture (3),3,HORT,2050
121,Natural,HORT 2061 Plant Propagation (3),3,HORT,2061
122,Natural,OCS 1005 Introduction to Oceanography (3),3,OCS,1005
123,Natural,OCS 1006 HONORS: Introduction to Oceanography (3),3,OCS,1006
124,Natural,OCS 2005 Gulf of Mexico (3),3,OCS,2005
125,Natural,OCS 2006 HONORS: Gulf of Mexico (3),3,OCS,2006
126,Natural,PHSC 1001 Physical Science (3),3,PHSC,1001
127,Natural,PHSC 1002 Physical Science (3),3,PHSC,1002
128,Natural,PHYS 1201 General Physics for Physics Majors (4),4,PHYS,1201
129,Natural,PHYS 1202 General Physics for Physics Majors (4),4,PHYS,1202
130,Natural,PHYS 2001 General Physics I (3),3,PHYS,2001
131,Natural,PHYS 2002 General Physics II (3),3,PHYS,2002
132,Natural,PHYS 2110 Particle Mechanics (3),3,PHYS,2110
133,Natural,"PHYS 2112 Fluids, Thermodynamics, Waves, and Modern Physics (3)",3,PHYS,2112
134,Natural,"PHYS 2113 Fields: Gravity, Electricity, and Magnetism (3)",3,PHYS,2113
135,Natural,PHYS 2150 HONORS Particle Mechanics (3),3,PHYS,2150
136,Natural,"PHYS 2153 Honors Fields: Gravitation, Electric, Magnetic (3)",3,PHYS,2153
137,Natural,AGRI 1005 Science and Society (3),3,AGRI,1005
138,Natural,AGRO 1001 Plants and People (3),3,AGRO,1001
139,Natural,BIOL 1011 Microorganisms and Man (3),3,BIOL,1011
140,Natural,CM 1070 Introduction to Sustainability in the Built Environment (3),3,CM,1070
141,Natural,HNRS 1035 Life Science Seminar (3),3,HNRS,1035
142,Natural,HNRS 1036 Physical Science Seminar (3),3,HNRS,1036
143,Natural,HNRS 2010 Science for Citizens (3),3,HNRS,2010
144,Natural,MEDP 2051 Radiation Science with Applications (3),3,MEDP,2051
145,Natural,OCS 2050 Coastal Systems Ecology and Ecosystem Design (3),3,OCS,2050
146,Natural,OCS 2100 Global Change and the Oceans (3),3,OCS,2100
147,Natural,PHYS 2401 Introduction to Concepts in Physics (3),3,PHYS,2401
148,Natural,RNR 1001 Natural Resource Conservation (3),3,RNR,1001
149,Mathematical/Analytical,CSC 1240 Statistics and Graphics with MATLAB (3),3,CSC,1240
150,Mathematical/Analytical,EXST 2201 Introduction to Statistical Analysis (4),4,EXST,2201
151,Mathematical/Analytical,MATH 1021 College Algebra (3),3,MATH,1021
152,Mathematical/Analytical,MATH 1022 Plane Trigonometry (3),3,MATH,1022
153,Mathematical/Analytical,MATH 1029 Introduction to Contemporary Mathematics (3),3,MATH,1029
154,Mathematical/Analytical,MATH 1100 The Nature of Mathematics (3),3,MATH,1100
155,Mathematical/Analytical,MATH 1431 Calculus with Business and Economic Applications (3),3,MATH,1431
156,Mathematical/Analytical,"MATH 1510 Biomathematics: Calculus, Probability, and Statistics I (5)",5,MATH,1510
157,Mathematical/Analytical,"MATH 1520 Biomathematics: Calculus, Probability, and Statistics II (4)",4,MATH,1520
158,Mathematical/Analytical,MATH 1530 Differential Calculus (3),3,MATH,1530
159,Mathematical/Analytical,MATH 1540 Integral Calculus (3),3,MATH,1540
160,Mathematical/Analytical,MATH 1550 Differential and Integral Calculus (5),5,MATH,1550
161,Mathematical/Analytical,MATH 1551 HONORS: Differential and Integral Calculus (5),5,MATH,1551
162,Mathematical/Analytical,MATH 1552 Analytic Geometry and Calculus II (4),4,MATH,1552
163,Mathematical/Analytical,MATH 1553 HONORS: Analytic Geometry and Calculus II (4),4,MATH,1553
164,Mathematical/Analytical,PHIL 1021 Introduction to Logic (3),3,PHIL,1021
165,Humanities,ARAB 1101 Beginning Arabic (4),4,ARAB,1101
166,Humanities,ARAB 1102 Beginning Arabic (4),4,ARAB,1102
167,Humanities,ARAB 2101 Intermediate Arabic (3),3,ARAB,2101
168,Humanities,ARAB 2102 Intermediate Arabic (3),3,ARAB,2102
169,Humanities,ARCH 2007 History of Architecture I (3),3,ARCH,2007
170,Humanities,ARCH 2008 History of Architecture II (3),3,ARCH,2008
171,Humanities,ARTH 2411 Survey of Asian Art (3),3,ARTH,2411
172,Humanities,CHIN 1101 Beginning Mandarin Chinese (4),4,CHIN,1101
173,Humanities,CHIN 1102 Beginning Mandarin Chinese (4),4,CHIN,1102
174,Humanities,CHIN 2001 Intermediate Mandarin Chinese (4),4,CHIN,2001
175,Humanities,CHIN 2002 Intermediate Mandarin Chinese (4),4,CHIN,2002
